quote,tags
ثمن الكرامة و الحرية فادح ، لكن ثمن الذل أفدح .,['حرية']
الحُكْم نتيجة الحِكمة، والعلم نتيجة المعرفة، فمن لا حكمة له لا حُكْمَ له، ومن لا معرفة له لا علم له.,['حكمة']
ثق في الجميع ، و لكن وزع الكروت (بطاقات اللعب) بنفسك .,['تأملات']
اطلب المستحيل كي تستخرج الممكن .,"['طموح،', 'نجاح']"
لقد علمتنا الصحراء أن نصبر طويلا حتى ينبت الخير.,['خواطر']
نحن جميعًا نبحث عن هذا الشخص المميز المناسب لنا. ولكن إذا كنت قد مررت بعلاقات كافية ، فستبدأ في الشك في عدم وجود شخص مناسب ، فقط نكهات مختلفة من الخطأ. لماذا هذا؟ لأنك أنت نفسك مخطئ بطريقة ما ، وتبحث عن شركاء مخطئين بطريقة تكميلية. لكن الأمر يتطلب الكثير من المعيشة لتنمو بشكل كامل لتصبح مخطئًا. ولن يكون الأمر حتى تصطدم أخيرًا بأعمق شياطينك ، مشاكلك غير القابلة للحل - تلك التي تجعلك حقًا ما أنت عليه - أننا مستعدون للعثور على رفيق مدى الحياة. عندها فقط تعرف أخيرًا ما تبحث عنه. أنت تبحث عن الشخص الخطأ. ولكن ليس فقط أي شخص خاطئ: يجب أن يكون الشخص الخطأ الصحيح - الشخص الذي تنظر إليه بحب وتفكر فيه ، - هذه هي المشكلة التي أريد أن أواجهها. - سأجد ذلك الشخص المميز الذي هو مخطئ بالنسبة لي بالطريقة الصحيحة .,"['تكون', 'محبوب', 'إنجاز']"
اذا أعطيت إنس ، و اذا أخذت تذكر .,['أمثال']
الكتب كالناس ، منهم السيد الوقور و منهم السيد الطريف و منهم الجميل الرائع و الساذج الصادق ، و منهم الخائن و الجاهل ، و الوضيع و الخليع ... و الدنيا تتسع لكل هؤلاء و لن تكون المكتبة كاملة إلا إذا كانت مثلاً كاملاً للدنيا .,"['علم،', 'معرفة']"
أنا يمكن أن يموت من أجلك. لكنني لم أستطع ، ولن أعيش من أجلك .,"['الموت', 'الموت', 'المنبع']"
ما يبدو قمة السخافة في عصر ما، يصبح عادة قمة الحكمة في العصر الذي يليه .,['تاريخ']
لا يمكن للعظيم والوضيع أن يتفاهما.,['تأملات']
الشجاعة التي نريدها و نكافئ عليها ليست شجاعة الموت بطريقة مشرفة ، بل شجاعة الحـياة برجولة .,"['تميز،', 'شجاعة']"
إذا لم تكن تعلم أين تذهب، فكل الطرق تؤدي إلى هناك.,['أمثال']
إذا أخبرني طبيبي أن أمامي ست دقائق فقط للعيش ، فلن أعيش. سأكتب أسرع قليلاً .,"['فكاهة', 'كتابة']"
كل شخص هو بالضرورة بطل قصة حياته .,['خواطر']
قلت: أنا لا أخرج مع الغرباء. أنا أفعل شيئًا جيدًا. سأقلك في الساعة الخامسة .,"['الملائكة', 'الساقطة']"
لا يوجد شيء جيد أو سيء ، لكن التفكير يجعله كذلك.,['فلسفة']
بعض الناس لديهم طريقة مع الكلمات ، والبعض الآخر ... أوه ، آه ، ليس لديهم طريقة.,"['فكاهة', 'كلمات']"
انا الغريق فما خوفي من البلل ؟ .,['خواطر']
لكي تتعامل و تتحاور مع الإنسان الخشن حاول أن تستخدم معلوماته و أفكاره .,"['حوار،', 'تعامل']"
القراءة تمد العقل فقط بلوازم المعرفة ، أما التفكير فيجعلنا نملك ما نقرأ .,"['علم،', 'معرفة']"
احذر من نفسك قبل عدوك ، و انتبه الى صديقك قبل خصمك .,['حكمة']
يبدو الأمر كما لو أن كل شخص يروي قصة عن نفسه داخل رأسه. دائماً. طوال الوقت. هذه القصة تجعلك ما أنت عليه. نبني أنفسنا من تلك القصة .,"['الهوية', 'الصورة', 'الذاتية']"
اقبل من أنت. إلا إذا كنت قاتل متسلسل .,['مضحك']
أكثر الأعمال شجاعة لا يزال التفكير بنفسك. بصوت عال.,"['الشجاعة', 'الكرامة', 'التمكين']"
يمكن القول بشكل عام ان الإنسان الاكثر نجاحا ً في الحياة هو من تتوفر لديه أفضل و أحسـن المعلومات .,"['تميز،', 'شجاعة']"
عزيزتي باتي . .. .. . ربَّما لن تصدقي ما ساكتبه لك في هذه الرسالة ، فانا الآن في مكة أصلي بجانب رجل أبيض خلف رجل أسود، واكل من نفس الطبق الذي ياكل منه رجل بعينين زرقاوين ، وأشرب من نفس الكأس الذي شرب منه شيخ عربيٌ ببشرة فاتحة ، لقد أدركت الآن وأنا في رحاب هذه المدينة المقدسة بأن جميع مشاكل أمريكا العنصرية لا يمكن لها أن تحل إلا بتعاليم الإسلام العظيم.,"['دروس،', 'اسلام']"
بعض الكتب يمكن تذوّقها، والبعض الآخر يمكن ابتلاعها، والقليل منها تمضغ وتهضم.,"['تفكير،', 'تغيير']"
و شهدت يوما من ايام الحرب لتوسلت إلى الله ألا يريك ثانية منها .,['حرب']
إذا أردت أن تزرع لسنة فازرع قمحاً ، و إذا أردت أن تزرع لعشر سنوات فازرع شجرة ، أما إذا أردت أن تزرع لمئة سنة فازرع إنساناً .,['أمثال']
لا تكن ممن يلعن ابليس علانية و يطيعه سرا .,"['نصائح،', 'اخلاق']"
قيمة الفكرة لا يجب أن تقاس بمدى صراحة أو كذب قائلها .,['أخرى']
يقول الناس أنه لا يوجد شيء مستحيل ، لكنني لا أفعل شيئًا كل يوم.,"['فكاهة', 'كسل', 'ملهمة']"
لا تكن طعَّاناً تَنْجُ من ألسنة الناس، وكن رحيمَا محببَا إلى الناس.,"['نصائح،', 'اخلاق']"
الذي يعرف القليل يكرره باستمرار كلما تحدث .,"['حوار،', 'تعامل']"
إحدى مزايا عدم التنظيم هي أن المرء دائمًا ما يكون لديه اكتشافات مفاجئة.,"['اكتشاف', 'غريب', 'الأطوار']"
لم يمت من أجل الرجال ، بل من أجل كل رجل. لو كان كل إنسان هو الوحيد من صنع الإنسان ، لما فعل أقل من ذلك .,"['الله', 'الدين']"
وفي النهاية ، الحب الذي تحصل عليه يساوي الحب الذي تحصل عليه.,"['البيتلز', 'الملهمة', 'العيش']"
إن السعادة تكمن في متعة الانجاز و نشوة المجهود المبدع .,['سعادة']
ما هي العائلة؟ كانوا من ادعوك. سواء في الخير أو السيء أو جزئيًا أو كليًا ، كانوا هم الذين حضروا ، وبقيوا هناك ، بغض النظر. لم يكن الأمر يتعلق فقط بعلاقات الدم أو الكروموسومات المشتركة ، ولكن شيء أوسع وأكبر. كان لدينا العديد من العائلات بمرور الوقت. عائلتنا الأصلية ، والعائلة التي أنشأناها ، والمجموعات التي انتقلت إليها أثناء حدوث كل هذا: أصدقاء ، عشاق ، وأحيانًا غرباء. لم يكن أي منهم مثاليًا ، ولم نكن نتوقع أن يكونوا كذلك. لا يمكنك أن تجعل أي شخص عالمك. كانت الحيلة أن تأخذ ما يمكن أن يمنحك إياه كل شخص وتبني عالمك منه .,['روبي']
وبمجرد انتهاء العاصفة ، لن تتذكر كيف نجحت في ذلك ، وكيف تمكنت من البقاء على قيد الحياة. لن تكون متأكدًا مما إذا كانت العاصفة قد انتهت بالفعل. ولكن شيء واحد مؤكد. عندما تخرج من العاصفة ، لن تكون نفس الشخص الذي دخل. هذا هو كل ما تدور حوله هذه العاصفة.,"['محنة', 'ملهمة', 'دروس']"
الفعل يلغي الشكوك التي تخلـقها الافكار .,['خواطر']
حينما نكذب ، فاننا نكذب على انفسنا .,"['نصائح،', 'اخلاق']"
ليس لديك روح يا دكتور. انت روح. لديك جسد مؤقتًا .,"['الجسد', 'الروح', 'أخطأ']"
يحب. لتكون محبوبا. أن ننسى أبدا أهميتها الخاصة بك. ألا تعتاد أبدًا على العنف الذي لا يوصف والتفاوت المبتذل في الحياة من حولك. لالتماس السعادة في الأماكن الأكثر حزنا. لمتابعة الجمال إلى مخبأ لها. عدم تبسيط ما هو معقد أو تعقيد ما هو بسيط. لاحترام القوة ، لا القوة أبدًا. قبل كل شيء ، للمشاهدة. لمحاولة فهم. لا تنظر ابدا بعيدا. وأبدا، أبدا أن ننسى.,['حياة']
لا يمكنك أن تعيش حياتك لأشخاص آخرين. عليك أن تفعل ما هو مناسب لك ، حتى لو كان يؤلم بعض الأشخاص الذين تحبهم .,"['ملهمة', 'دفتر', 'الملاحظات']"
العلم هو ما تعرف والفلسفة هي ما لا تعرف.,"['علم،', 'معرفة']"
بعض الناس الذين يتم تـصنيفهم على أنـهم أهدأ طبعاً هم في الحقيقة ممن يحترقون بداخلهم من فرط ضغوطهم العصبية ، وهـذا النوع من الغضب أشد خطورة وهو ما يسمى بالغضب الصامت .,"['حوار،', 'تعامل']"
أراهن أنه يمكنك في بعض الأحيان العثور على كل ألغاز الكون في يد شخص ما.,"['إجابات', 'حقيقي', 'كون']"
التعلم في الصغر كالنقش على الحجر .,['أمثال']
إلزم سريرك و امرض ، تعرف من يريد بك خيرا ، ومن يريد بك شراً .,['أمثال']
انما الشجاعة صـبر ساعة .,"['تميز،', 'شجاعة']"
التعقل والسعادة مكونين صعب مزجهما.,"['السعادة', 'العقل']"
القادة يفكرون و يتحدثون عن الحلول ، و الاتباع فـقط هم الذين يفـكرون و يتحدثون عن المشكلات .,['قيادة']
إذا التقى فيلسوفان، فأفضل ما يمكنهما القيام به هو الاكتفاء بالتحية.,['طرائف']
الوقت المناسب لإصلاح السقف هو وقت سطوع الشمس .,"['طموح،', 'نجاح']"
اختر كلامك قبل أن تتحدث و اعط للاختيار وقتاً كافياً لنضج الكلام ، فالكلمات كالثمار تحتاج لوقت كاف حتى تنضج .,"['حوار،', 'تعامل']"
الدبلوماسية ... هي فن تقييد القوة .,['تأملات']
اشك في أن النجوم هي نار ؛ اشك في أن الشمس تتحرك ؛ اشك في أن الحقيقة كاذبة ؛ لكن لا أشك أبدًا في أنني أحب.,[]
لا يمكنك الاعتماد على عينيك عندما يكون خيالك خارج نطاق التركيز.,['خيال']
الناس تحترم – أو تعتقد أنها تحترم - من يقول إنه تعيس، لأنهم يعتبرون الحزن علامة على النضج؛ كأن السعادة خطيئة لا يجدر بالمرء إعلانها. أنا حزين وأنتم أوغاد، هذا هو شعار كل إنسان.,['سعادة']
سر الاستمتاع بالعمل يتلخص في كلمة واحدة: الإجادة.,"['تفكير،', 'تغيير']"
في الإسلام خلق الله الإنسان ليكون خليفته في الأرض ، و في الحضارة الغربية ليس الإنسان إلا حيواناً متطورا .,['حرية']
لا تنبع العدالة من المنطق، لكن الصلاح يولد من الحكمة.,['حكمة']
ما رأيت أحداً يعيب الناس إلا لفضل ما به من العيوب.,"['نصائح،', 'اخلاق']"
بغض النظر عن مدى وضوح المرأة ، إذا كتبت الحقيقة والصدق على وجهها ، فستكون جميلة.,"['جمال', 'جمال', 'داخلي']"
شجاعة بـلا حذر .. حصان اعـمى .,"['تميز،', 'شجاعة']"
ليس من الشجاعة أن تنتقم، بل أن تتحمل وتصبر.,"['تميز،', 'شجاعة']"
إذا لم تكن قويا بما فيه الكفاية، فستقلع عن تجربة أي شيء بسرعة، وإذا لم تكن مرنًا، لن تستطيع الوصول لحلول لما تواجهه من مشاكل ولو ضربت برأسك عرض الحائط.,['مشاكل،حلول']
لا أعرف كل ما سيأتي ، ولكن مهما كان الأمر ، سأذهب إليه ضاحكًا.,"['مغامرة', 'ضحك']"
إذا كنت تحب ما تقوم به، ومستعد للقيام بأي شيء لتنجح في ذلك، فهذا هو النجاح الحقيقي، الأمر يستحق عناء كل دقيقة تقضيها وحيدا في الليل، وما تقضيه من وقت في التفكير في ما تريد تصميمه وبناءه.,"['طموح،', 'نجاح']"
عندما تعطيك الحياة الليمون ، رش شخصًا ما في عينه.,"['عيون', 'ظريفة', 'ليمون']"
أن نكون أو لا نكون: هذا هو السؤال: هل هذا أنبل في العقل أن يعاني مقلاع وسهام الثروة الفاحشة ، أو حمل السلاح ضد بحر من المتاعب ، ومعارضة إنهاءها؟ ليموت: أن أنام لا أكثر ؛ وبالنوم نقول إننا انتهينا من آلام القلب وآلاف الصدمات الطبيعية التي يرثها الجسد ، `` هذه إتمام يجب أن تتمناه تمامًا ''. أن تموت ، أن تنام ، أن تنام: بالصدفة أن تحلم: نعم ، هناك فرك ؛ لأنه في نوم الموت هذا ما قد تأتي الأحلام عندما نخلع هذا الملف المميت ، يجب أن نتوقف: هناك الاحترام ، هذا يجعل الكارثة طويلة جدًا الحياة ؛ لمن سيحمل السياط واحتقار الزمن ، الظالم الظالم ، الكبرياء المعاصر ، آلام الحب المحتقر ، تأخر القانون ، وقاحة المنصب والازدراء ، هذا الجدارة الصبور لما لا يستحق ، عندما يكون هو نفسه قادرًا على ذلك. جعله الهدوء مع جسد عاري؟ من سيتحمل ، لينخر ويتعرق في ظل حياة مرهقة ، لكن ذلك الخوف من شيء ما بعد الموت ، البلد غير المكتشف الذي لا يعود مسافر منه ، يحير الإرادة ويجعلنا نتحمل تلك العلل التي لدينا لا أعرف من؟ وبالتالي فإن الضمير يجعل منا جميعًا جبناء ؛ وبالتالي فإن الصبغة الأصلية للقرار تتعثر مع فريق الفكر الباهت ، والمشاريع ذات النفع واللحظة الكبيرة مع هذا الصدد ، تنحرف تياراتهم ، ويفقدون اسم العمل. - لينة أنت الآن! أوفيليا العادلة! حورية ، في أعلامك ، كن كل ذنوبي تذكر!,"['الموت', 'الوجود', 'الحياة']"
لا يمكن للتغيير أن ينجح قبل ان تتوفر لنا ارضية صلبة نقف عليها ، و هكذا نتعامل بايجابية مع التغيير .,"['تفكير،', 'تغيير']"
هناك تصدام تراجيدي بين الحقيقة و العالم .,['حقيقة']
الأشخاص الناجحون يفعلون ما يرفض غير الناجحين فعله، هذا أمر غير سهل إطلاقا .,"['طموح،', 'نجاح']"
نحن نبرع فقط في الأعمال التي نحب أن نقوم بها.,"['طموح،', 'نجاح']"
يجب أن تكون الفتاة شيئين: من وماذا تريد.,"['على', 'طبيعتك', 'التمكين']"
أي أحمق يعرف أن الرجال والنساء يفكرون بشكل مختلف في بعض الأحيان ، لكن الاختلاف الأكبر هو هذا. ينسى الرجال ، لكنهم لا يغفرون ؛ تغفر النساء ، لكن لا تنسى أبدًا .,"['مغفرة', 'رجال', 'نسا']"
الأحمق يبحث عن السعادة في الاماكن البعيدة ، أما الحكيم فيزرعها تحت قدميه.,['سعادة']
الألم أمر لا مفر منه. المعاناة اختيارية.,"['ملهمة', 'تشغيل']"
جيس هز رأسه الأشقر في سخط. كان عليك أن تصنع صديقًا مجنونًا في السجن ، أليس كذلك؟ لا يمكنك فقط عد بلاط السقف أو ترويض فأر أليف كما يفعل السجناء العاديون؟,"['فكاهة', 'جيس']"
جعل البسيط معقدا هو امر شائع ؛ و لكن جعل المعقد بسيطا ، فهذا هو الإبداع.,"['تجديد،', 'إبداع']"
فقط بعد أن فقدنا كل شيء أصبحنا أحرار في فعل أي شيء.,['خسارة']
لو كان العلم من دون التقى شرفاً ، لكان أشرف خلق الله إبليس .,"['علم،', 'معرفة']"
قصة الأطفال التي لا يمكن إلا للأطفال الاستمتاع بها ليست قصة أطفال جيدة على الإطلاق.,"['كتب', 'كتب', 'أطفال']"
العقبات هي تلك الاشياء المخفية التي تراها عندما ترفع عينيك عن الهدف .,"['تنمية', 'الذات،', 'تحفيز']"
ربما تقول أنني حالم لكن أنا لست الوحيد هكذا. آمل أن تنضم إلينا يومًا ما. و سيعيش العالم كواحد.,"['البيتلز', 'الاتصال', 'الحالمون']"
اذا كنت لا تستطيع الرقص على نفس إيقاع الآخرين ، فربما كان ذلك لانك تسمع موسيقى أخرى .,"['حوار،', 'تعامل']"
من تأنى نال ما تمنى.,['حكمة']
لو أن شيئاً صغيراً له القدرة على أن يجعلك تغضب، ألا يشير هذا إلى حجمك ؟ .,['سعادة']
من طلب الدنيا بعمل الآخرة ، فقد خسرهما .. و من طلب الآخرة بعمل الدنيا ، فقد ربحهما .,['حياة']
هنا للكتب ، أرخص عطلة يمكنك شراؤها.,"['إجازة', 'كتب']"
عظَمة عقلك تخلق لك الحساد .. و عظَمة قلبك تخلق لك الأصدقاء .,['صداقة']
السبيل الوحيد لجعل البشر يتحدثون خيرا عنك هو قيامك بعمل طيب.,['تأملات']
الثقة السهلة التي أعرف بها أن دين رجل آخر هو حماقة تعلمني أن أشك في أن ديني هو أيضًا.,"['الفكاهة', 'الفلسفة', 'الدين']"
أنا لا أخاف من الموت. أنا فقط لا أريد أن أكون هناك عندما يحدث ذلك .,"['الموت', 'الخوف', 'الفكاهة']"
أرني الرجل الذي تبجله ، و سأعرف من أنت .,"['حوار،', 'تعامل']"
هل تعتقدين أنني جميلة؟ أعتقد أنك جميلة ، جميلة؟ أنت جميلة جدًا ، إنه يؤلمني أحيانًا.,"['الجمال', 'الحب']"
الكتاب يجب أن يكون فأس البحر المتجمد بداخلنا.,['كتب']
لن يأتي التغيير إذا انتظرنا شخصاً آخر أو وقتاً آخر. نحن من ننتظر. نحن التغيير الذي نسعى إليه.,"['تفكير،', 'تغيير']"
الشائعات ... وكالة أنباء التافهين .,['تأملات']
الزهرة التي تتبع الشمس تفعل ذلك حتى في اليوم المليء بالغيوم .,"['تفاؤل', 'أمـل']"
عقولنا مخازن كبيرة ، يجب أن نفرغها من الهموم كل فترة .,['سعادة']
ليس الغرض من التعليم معرفة الحقائق فقط ، بل معرفة القيم كذلك .,"['علم،', 'معرفة']"
كفى بك عيبا أن يبدو لك من أخيك ما يخفي عليك من نفسه، أو تؤذي جليسك فيما لا يعنيك، أو تعيب شيئا وتأتي بمثله.,"['نصائح،', 'اخلاق']"
لا يجرؤ بعض الناس أن يكونوا ملوكا حتى في أحلامهم .,"['تفاؤل', 'أمـل']"
إذا زارك أخوك فلا تقل له: أتأكل؟ أو أقدم إليك؟ ولكن قدِّم، فإن أكل وإلا فارفع.,"['نصائح،', 'اخلاق']"
لقد قيل: الوقت يداوي كل الجراح. انا لا اوافق. الجراح باقية. بمرور الوقت ، يحمي العقل عقله بالنسيج الندبي ويقل الألم. لكنها لم تختف أبدا .,"['شفا', 'ألم', 'ذكرى']"
إن قليلاً من الفلسفة يجنح بالعقل إلى الإلحاد ، و لكن التعمق في الفلسفة خليق بأن يعود بالمرء إلى الدين .,['تأملات']
لا يمكنك أبدًا الحصول على فنجان شاي كبير بما يكفي أو كتاب طويل بما يكفي ليناسب.,"['كتب', 'ملهمة', 'قرا']"
اكتساب المهارات يبدأ ببرمجة العقل بالخطوات الصحيحة ، ثم بالممارسة المتكررة .,['إدارة']
العلم إن لم ينفعك لم يضرك.,"['علم،', 'معرفة']"
البيت سيظل أفضل الاماكن على كوكب الارض .,['خواطر']
لا تزال كريما على الناس ما لم تُعَاطِ ما في أيديهم، فإذا فعلت ذلك استخفوا بك وأبغضوك.,['حقيقة']
اقترض لنفسك المشاكل اذا كانت هذه طبيعتك ، و لكن لا تقرضها للآخرين .,['مشاكل،حلول']
خمنت؟ لا بد أنك كنت متأكدًا تمامًا ، مع الأخذ في الاعتبار أنه كان من الممكن أن تقتلني. كنت متأكدًا بنسبة تسعين بالمائة. أرى ، قالت كلاري. لا بد أنه كان هناك شيء في صوتها ، لأنه التفت لينظر إليها. يدها طقطقة على وجهه ، صفعة هزته مرة أخرى على كعبيه. وضع يديه على خده ، في دهشة أكثر من الألم. لماذا بحق الجحيم هذا؟ العشرة بالمائة المتبقية.,"['فكاهة', 'خوارق', 'الرومانسية']"
مهمة المعلم أن يزرع الصحراء ، لا ان يقتلع الحشائش الضارة من الحقول .,"['علم،', 'معرفة']"
الحب لا ينظر بالعينين، بل بالعقل.,['حياة']
ليس المهم أن نبذل قصارى جهدنا ، بل المهم أن نبذل ما هو مطلوب منا .,['حياة']
الصمت يمنحك متعة التنزه في عقول الآخرين.,['إدارة']
التعطش الى السلطة ليس نابعاً من القوة ، بل من الضعف .,['تأملات']
أنا متشائم بسبب الذكاء ، و لكني متفائل بسبب العزيمة .,"['تفاؤل', 'أمـل']"
ليست الرواية سوى فلسفة تم تصويرها .,['خواطر']
إن عملية الإدراك ليست مبنية كلها على المثيرات الخارجية أو المحسوسات ، بل إننا نضيف إليها من خبرتنا و تجاربـنا الماضية ، و لهذا يختلف الناس في إدراكهم لموضوع واحد بقدر ما يستطيع كل منهم أن يضيف إليه من عنده من روابط و معاني مستمدة من الخبرات السابقة .,['تأملات']
شيئان لا تؤمن المرأة عليهما: الرجل والطيب.,['النفس']
الشغف باستلفات الأنظار عام بين جميع الناس و لكن منهم قوماً يظهر كأنهم يطلبونه بألسنتهم و قوماً كأنهم يحرزونه بالرغم منهم و من الناس .,"['حوار،', 'تعامل']"
انظر ، المشكلة هي أن الله يعطي الإنسان دماغًا وقضيبًا ، وما يكفي فقط من الدم لتشغيل واحدًا تلو الآخر.,"['فكاهة', 'رجال']"
واحد ، تذكر أن تنظر إلى النجوم وليس أسفل قدميك. ثانيًا ، لا تتخلى عن العمل أبدًا. يمنحك العمل المعنى والهدف والحياة فارغة بدونه. ثالثًا ، إذا كنت محظوظًا بما يكفي للعثور على الحب ، فتذكر أنه موجود ولا تتخلص منه .,"['فلسفة', 'علم']"
لا أريد أن يكون الناس لطيفين للغاية ، لأنه يوفر لي عناء الإعجاب بهم كثيرًا.,"['أصدقا', 'فكاهة', 'أشخاص']"
عليك بقلة الكلام يلين قلبك، وعليك بالصمت تملك الورع.,"['دروس،', 'اسلام']"
الدعاية السياسية لا تخدع الناس ، لكنها تساعدهم على خداع أنفسهم .,['سياسة']
افضل تدريب للاحتفاظ بالرشاقة ، هو ان تهز الرأس من اليمين الى اليسار و بالعكس ، كلما قدم الـيك طبق شهي .,['طرائف']
القصة حتى الآن: في البداية نشأ الكون. وقد أثار هذا غضب الكثير من الناس واعتبر على نطاق واسع خطوة سيئة.,"['فكاهة', 'خيال']"
هؤلاء الذين يتزينون باللآلـئ ، لا يعرفون كم مرة عضت أسماك القرش ساقي الغواص .,['أمثال']
طالما استمرت حياتنا ، فستكون هناك جبال جديدة علينا تسلقها .,['خواطر']
الفضيلة فرس جموح لا تنقاد إلا للمتمكنين منها .,"['نصائح،', 'اخلاق']"
النجوم ، أخفوا نيرانكم ؛ لا تدع الضوء يرى رغباتي السوداء والعميقة .,"['الإخفا', 'الخطط', 'المظلمة']"
لا تجعل ابداً اي مشكلة تصبح عذراً .. كن منضبطاً لكي تحل المشكلة .,['مشاكل،حلول']
إذا كنت لا تستطيع العض فلا تظهر أسنانك.,['أخرى']
لا شيء يزيل طعم زبدة الفول السوداني تمامًا مثل الحب غير المتبادل.,['فكاهة']
لديك قلب لا يصلب ، ومزاج لا يتعب ، ولمسة لا تؤلم أبدًا.,['الأدب']
الكلمات تبهر وتخدع لأنها مقلدة بالوجه. لكن الكلمات السوداء على صفحة بيضاء هي الروح المكشوفة .,['كتب']
إذا أردت أن تعرف رقي أمة فانظر إلى نسائها.,['أمثال']
المرونة ... وهي القدرة على تغيير طريقة التفكير بتغير الموقف ، مع القدرة على توليد أكبر عدد ممكن من الأفكار بشأن الموقف الذي تفكر فيه .,['تأملات']
عندما تكون قيمك واضحة لك يصبح اتخاذ القرار أمرا أكثر سهولة.,"['طموح،', 'نجاح']"
تذكر دائماً أن الضيف يرى في ساعة ما يراه المضيف في عام .,"['حوار،', 'تعامل']"
الفن يغسل من الروح غبار الحياة اليومية.,[]
لن تصبح عامل تغيير إلا اذا توقفت عن فعل الاشياء التي ليس لها معنى .,"['تفكير،', 'تغيير']"
لا يجب أن تكون الأمور صحيحة. الحكايات والأحلام هي حقائق الظل التي ستدوم عندما تكون الحقائق مجرد تراب ورماد ، وتنسى .,['ساندمان']
الحب يلهينا عن الاخطاء ، اما الكراهية فتعمينا عن الحقائق .,['خواطر']
القصور العالية كثيراً ما تكون طبقاتها فارغة .,['أمثال']
الخوف من الموت ينبع من الخوف من الحياة. الرجل الذي يعيش حياة كاملة مستعد للموت في أي وقت .,"['الحياة', 'الموت']"
أنا ذكي للغاية ، ومتطلب للغاية ، وذكي للغاية بحيث لا يتمكن أي شخص من تولي المسؤولية عني بالكامل. لا أحد يعرفني أو يحبني تمامًا. لدي فقط نفسي,['النسوية']
في القلب حزن لا يذهبه إلا السرور بمعرفة الله .,"['تفاؤل', 'أمـل']"
حافظ على وجهك دائمًا في اتجاه أشعة الشمس - وستتراجع الظلال خلفك.,"['نصيحة', 'للحياة', 'اليومية']"
السعادة هي وجود عائلة كبيرة ومحبة ومهتمة ومترابطة في مدينة أخرى.,"['عائلة', 'سعادة', 'فكاهة']"
احرص على أن لا تظلم أحداً .. فخير لك أن يفلت منك من يستحق عقاباً ، فتلوم النفس ، من ان تظلم انساناً فتعـنفها .,['قيادة']
من اطمأن إلى القوة فهو مغلوب ، و من اطمأن إلى الجاه فهو مخلوع.,['حياة']
أين الطبيعة البشرية ضعيفة كما في المكتبة؟,"['كتب', 'فكاهة']"
الشخص الصالح لا يحتاج القوانين لتخبره كيف يتصرف بمسؤولية ، أما الشخص الفاسد فسيجد دائماً طريقة ما للاتفاف على القوانين .,"['تفكير،', 'تغيير']"
إنه لأمر غريب ، موت أحد الأحباء. نعلم جميعًا أن وقتنا في هذا العالم محدود ، وأننا جميعًا في نهاية المطاف سينتهي بنا الأمر تحت بعض الأوراق ، ولن نستيقظ أبدًا. ومع ذلك ، فإنها دائمًا ما تكون مفاجأة عندما يحدث ذلك لشخص نعرفه. إنه مثل صعود الدرج إلى غرفة نومك في الظلام ، والتفكير في وجود درج واحد أكثر مما هو موجود. تسقط قدمك في الهواء ، وهناك لحظة مريضة من المفاجأة المظلمة وأنت تحاول تعديل طريقة تفكيرك في الأمور .,['موت']
اقرأ، اقرأ، اقرأ. اقرأ كل شيء، القمامة والكلاسيكيّات، الجيدة والسيئة، وراقب كيف تفعل ذلك، تمامًا مثل النّجار الذي يعمل كمتدرب حتى يتدرج ليصبح الرئيس، اقرأ ثم عليك أن تستوعب ثم تقرر إذا كان ما تقرأه جيّدًا، عليك معرفة ذلك. وإذا لم يكن كذلك، فقم برميه من النّافذة.,"['علم،', 'معرفة']"
التقدم ليس وهما؛ فهو يحدث كل يوم، لكنه بطيء ومحبط للغاية.,['عام']
لكن من الأفضل أن تتأذى من الحقيقة بدلاً من أن تريحك بالكذب.,['حياة']
الإنسان هو أقسى حيوان.,"['الحيوانات', 'القسوة', 'الشر']"
اذا كنت من يهوى استعراض قدراته فانـك ستكون منفراً في نظر الآخرين ، اما اذا كنت تتصرف بصدق و تؤدي أي عمل باخـلاص فتأكد انك ستقدم للجميع اقوى العروض .,"['حوار،', 'تعامل']"
الشرف لا يجب أن يكتسب ، بل يجب فقط ألا يـُفقد .,"['نصائح،', 'اخلاق']"
من لم يتعلم الطاعة لا يستطيع القيادة .,['قيادة']
تذكر ان النصابين هم أكثر الناس إيحاءا بالثقة ، وإلا فكيف ينجحون فى عملهم .,['عام']
مهما قرأت العديد من الكلمات المقدسة ، ومهما تكلمت ، فما هي نفعها إذا لم تعمل بها؟,['ملهم']
إذا خفت لا تقل .. و إذا قلت لا تخف .,['أمثال']
التحليل ... هو عملية تفكير منطقي تركز البحث عن اجابة واحدة و محددة .,['تأملات']
هذا هو الشيء الذي يتعلق بالفتيات. في كل مرة يفعلون شيئًا جميلًا ، حتى لو لم يكونوا ينظرون إليهم كثيرًا ، أو حتى لو كانوا أغبياء نوعًا ما ، فإنك تقع في حبهم ، ومن ثم لن تعرف أبدًا أين أنت بحق الجحيم. فتيات. المسيح عيسى. يمكنهم أن يدفعوك للجنون. يمكنهم حقا.,"['فتيات', 'هولدن']"
لا يمكن لأي لص ، مهما كان ماهرًا ، أن يسرق المعرفة من أحد ، ولهذا السبب فإن المعرفة هي الكنز الأفضل والأكثر أمانًا لاكتسابه.,"['المعرفة', 'السرقة', 'الكنز']"
لقد تعلمت الآن أنه في حين أن أولئك الذين يتحدثون عن مآسي المرء عادة ما يؤذون ، فإن أولئك الذين يلتزمون الصمت يؤلمون أكثر.,"['مؤذ', 'لويس', 'بؤس']"
